City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,4.13,88,100,15.18,TF,1727399253
1,waitangi,-43.9535,-176.5597,8.23,97,100,4.02,NZ,1727399254
2,adamstown,-25.066,-130.1015,21.66,88,73,4.93,PN,1727399256
3,kargasok,59.0556,80.8572,0.23,97,100,3.59,RU,1727399257
4,wailua homesteads,22.0669,-159.378,28.44,72,100,5.14,US,1727399258
5,nikolayevsk-on-amure,53.1406,140.73,10.74,97,100,1.37,RU,1727399259
6,magadan,59.5667,150.8,8.37,63,1,1.88,RU,1727399260
7,margaret river,-33.95,115.0667,13.66,70,100,5.54,AU,1727399261
8,guerrero negro,27.9769,-114.0611,19.85,83,0,9.27,MX,1727399180
9,hermanus,-34.4187,19.2345,14.33,90,100,1.91,ZA,1727399264
10,coquimbo,-29.9533,-71.3436,11.85,100,0,0.0,CL,1727399003
11,touros,-5.1989,-35.4608,24.63,78,65,7.24,BR,1727399060
12,ribeira brava,32.65,-17.0667,22.35,79,0,1.57,PT,1727399267
13,selfoss,63.9331,-20.9971,2.4,82,87,2.06,IS,1727399268
14,tiksi,71.6872,128.8694,0.95,99,100,3.45,RU,1727399269
15,port saint john's,-31.6229,29.5448,16.25,77,59,3.41,ZA,1727399270
16,hithadhoo,-0.6,73.0833,27.47,75,99,6.92,MV,1727399272
17,puerto armuelles,8.2833,-82.8667,25.61,88,100,1.79,PA,1727399273
18,mafeteng,-29.823,27.2374,8.19,41,100,0.88,LS,1727399274
19,port mathurin,-19.6833,63.4167,22.1,78,7,9.27,MU,1727399275
20,ormara,25.2088,64.6357,26.96,85,100,5.92,PK,1727399276
21,albany,42.6001,-73.9662,17.37,81,100,0.37,US,1727399277
22,yellowknife,62.456,-114.3525,8.56,97,100,4.02,CA,1727399278
23,bereznik,62.8551,42.7072,15.3,43,100,4.64,RU,1727399280
24,jha-jha,24.7667,86.3667,24.81,94,100,5.39,IN,1727399281
25,port elizabeth,-33.918,25.5701,14.62,85,6,0.45,ZA,1727399282
26,iqaluit,63.7506,-68.5145,5.75,91,100,1.89,CA,1727399283
27,island harbour,50.724,-1.2758,12.74,91,100,4.02,GB,1727399284
28,flin flon,54.7682,-101.865,15.49,76,100,9.23,CA,1727399285
29,kapuskasing,49.4169,-82.4331,12.25,89,0,0.32,CA,1727399286
30,huarmey,-10.0681,-78.1522,17.32,82,94,2.89,PE,1727399288
31,morehead city,34.7229,-76.726,25.03,92,100,1.79,US,1727399289
32,puerto natales,-51.7236,-72.4875,5.33,93,100,4.72,CL,1727399290
33,ust-nera,64.5667,143.2,5.5,70,48,2.72,RU,1727399291
34,grytviken,-54.2811,-36.5092,-1.27,76,52,9.44,GS,1727399292
35,bethel,41.3712,-73.414,22.05,90,100,2.06,US,1727399293
36,ribeira grande,38.5167,-28.7,23.21,85,96,6.71,PT,1727399294
37,rikaze,29.25,88.8833,9.38,74,100,1.14,CN,1727399295
38,ushuaia,-54.8,-68.3,2.84,99,100,1.64,AR,1727399277
39,baykal'sk,51.5058,104.1469,6.03,86,100,1.89,RU,1727399298
40,mount isa,-20.7333,139.5,24.87,38,0,5.14,AU,1727399299
41,rabkavi,16.4667,75.1,21.29,93,65,3.23,IN,1727399300
42,cape canaveral,28.4058,-80.6048,29.48,79,0,15.95,US,1727399104
43,progreso,21.2833,-89.6667,29.42,84,60,1.41,MX,1727399024
44,bakanas,44.8081,76.2772,6.08,46,3,3.51,KZ,1727399303
45,carnarvon,-24.8667,113.6333,19.69,65,97,4.19,AU,1727399305
46,longyearbyen,78.2186,15.6401,-0.09,59,40,8.75,SJ,1727399029
47,port alfred,-33.5906,26.891,12.32,94,75,2.44,ZA,1727399307
48,puerto ayora,-0.7393,-90.3518,20.31,94,100,1.79,EC,1727399308
49,bam,29.106,58.357,27.75,12,0,2.26,IR,1727399309
50,oroqen zizhiqi,50.5667,123.7167,15.16,45,83,1.61,CN,1727399310
51,ilulissat,69.2167,-51.1,4.01,70,75,0.0,GL,1727399311
52,ha'il,27.5219,41.6907,25.01,31,0,2.06,SA,1727399312
53,calvinia,-31.4707,19.776,10.92,57,100,1.03,ZA,1727399314
54,punta arenas,-53.15,-70.9167,6.06,81,75,11.83,CL,1727399315
55,kavieng,-2.5744,150.7967,29.4,69,48,1.09,PG,1727399316
56,boa vista,2.8197,-60.6733,29.99,70,40,2.57,BR,1727399167
57,melenki,55.3343,41.6295,12.51,28,100,4.62,RU,1727399318
58,whitehorse,60.7161,-135.0538,10.17,50,96,2.68,CA,1727399319
59,alesund,62.4723,6.1549,8.52,92,100,4.63,NO,1727399320
60,rock springs,41.5875,-109.2029,24.02,15,0,4.12,US,1727399223
61,enewetak,11.3474,162.3373,28.88,75,19,5.92,MH,1727399323
62,west island,-12.1568,96.8225,26.99,78,100,5.66,CC,1727399324
63,linevo,54.4589,83.3764,1.58,99,100,2.89,RU,1727399325
64,edinburgh of the seven seas,-37.0676,-12.3116,13.31,95,100,7.75,SH,1727399326
65,usinsk,65.9939,57.5281,7.43,96,100,6.65,RU,1727399119
66,vilyuchinsk,52.9306,158.4028,15.15,68,100,0.93,RU,1727399328
67,madisonville,37.3281,-87.4989,18.82,96,100,1.79,US,1727399329
68,namibe,-15.1961,12.1522,19.53,91,85,3.6,AO,1727399331
69,codrington,-38.2667,141.9667,13.33,57,0,2.1,AU,1727399333
70,georgetown,5.4112,100.3354,27.96,74,20,1.03,MY,1727399334
71,rasshevatskaya,45.5748,41.035,15.46,62,100,7.24,RU,1727399335
72,ola,59.5833,151.2833,8.32,58,3,1.7,RU,1727399336
73,zary,51.6421,15.1373,15.55,83,100,4.47,PL,1727399337
74,zossen,52.2167,13.45,16.19,85,20,9.77,DE,1727399338
75,praia da vitoria,38.7333,-27.0667,19.27,82,67,2.08,PT,1727399340
76,cabo san lucas,22.8909,-109.9124,31.17,62,20,3.13,MX,1727399104
77,kabare,-2.4683,28.8242,17.57,66,52,0.65,CD,1727399342
78,kingston,17.997,-76.7936,29.53,79,20,4.12,JM,1727399151
79,avarua,-21.2078,-159.775,23.03,64,75,3.6,CK,1727399344
80,kristiansund,63.1115,7.732,7.36,87,100,2.57,NO,1727399345
81,arboga,59.3939,15.8388,13.48,95,100,3.66,SE,1727399346
82,papatowai,-46.5619,169.4708,6.4,86,98,7.32,NZ,1727399347
83,dingli,35.8614,14.3822,23.78,88,20,2.57,MT,1727399349
84,palmer,42.1584,-72.3287,18.42,80,100,0.0,US,1727399350
85,chonchi,-42.6128,-73.8092,6.18,93,100,1.07,CL,1727399351
86,holualoa,19.6228,-155.9522,26.97,79,75,4.12,US,1727399352
87,greenville,35.6127,-77.3663,25.01,98,100,2.06,US,1727399232
88,lebu,-37.6167,-73.65,6.58,80,100,2.63,CL,1727399354
89,kiunga,-6.1219,141.2906,27.84,76,93,0.62,PG,1727399357
90,klyuchi,52.2667,79.1667,1.62,76,78,3.04,RU,1727399358
91,san antonio de pale,-1.4014,5.6325,24.96,84,100,5.27,GQ,1727399359
92,stanley,54.868,-1.6985,9.04,80,40,6.69,GB,1727399360
93,invercargill,-46.4,168.35,5.01,95,100,1.34,NZ,1727399362
94,blackmans bay,-43.0167,147.3167,14.18,57,25,0.45,AU,1727399363
95,badger,64.8,-147.5333,7.21,81,100,2.57,US,1727399365
96,nuestra senora del rosario de caa cati,-27.7507,-57.6207,14.83,96,44,3.04,AR,1727399366
97,swan hill,-35.3378,143.5544,17.16,28,0,1.69,AU,1727399367
98,samfya,-11.3649,29.5565,20.25,35,2,2.8,ZM,1727399368
99,crane,31.3974,-102.3501,26.24,29,0,3.84,US,1727399369
100,puerto baquerizo moreno,-0.9,-89.6,20.16,87,100,5.32,EC,1727399370
101,jayapura,-2.5333,140.7,29.66,79,90,1.09,ID,1727399371
102,lihue,21.9789,-159.3672,28.77,67,100,5.14,US,1727399372
103,niamey,13.5137,2.1098,30.1,61,6,5.47,NE,1727399374
104,san patricio,28.017,-97.5169,25.97,36,0,3.08,US,1727399375
105,ciudad constitucion,25.0369,-111.6644,29.18,40,0,7.21,MX,1727399376
106,dudinka,69.4058,86.1778,-0.47,95,100,3.44,RU,1727399377
107,kalaleh,37.3807,55.4916,18.49,85,28,1.46,IR,1727399378
108,anadyr,64.75,177.4833,4.28,69,75,3.0,RU,1727399379
109,greymouth,-42.4667,171.2,10.22,57,100,7.01,NZ,1727399380
110,brandon,27.9378,-82.2859,27.95,93,100,8.75,US,1727399345
111,mainpuri,27.2333,79.0167,24.92,90,100,5.05,IN,1727399383
112,bilibino,68.0546,166.4372,-2.95,78,98,0.75,RU,1727399384
113,batticaloa,7.7102,81.6924,26.0,79,13,3.11,LK,1727399385
114,kourou,5.1552,-52.6478,27.13,84,15,3.47,GF,1727399386
115,terrace,54.5163,-128.6035,8.37,95,100,1.41,CA,1727399387
116,utrik,11.2278,169.8474,28.68,75,100,5.98,MH,1727399389
117,thompson,55.7435,-97.8558,19.94,57,100,5.09,CA,1727399390
118,hadagalli,15.0167,75.95,21.99,92,100,5.33,IN,1727399391
119,salina cruz,16.1667,-95.2,26.85,78,100,4.92,MX,1727399392
120,northam,51.0333,-4.2167,11.45,96,100,1.39,GB,1727399393
121,sakaiminato,35.55,133.2333,24.83,78,77,4.35,JP,1727399362
122,cockburn town,21.4612,-71.1419,29.44,77,16,7.72,TC,1727399396
123,barra de santo antonio,-9.4047,-35.5072,24.28,77,1,4.6,BR,1727399398
124,sao tome,0.3365,6.7273,25.52,86,80,4.05,ST,1727399399
125,jamestown,42.097,-79.2353,18.34,84,40,2.57,US,1727399400
126,tolanaro,-25.0319,46.9987,20.74,89,6,1.02,MG,1727399401
127,haimen,23.1935,116.6142,28.09,81,9,3.23,CN,1727399402
128,madaoua,14.073,5.96,30.62,50,7,3.72,NE,1727399293
129,gizo,-8.103,156.8419,28.6,75,29,0.97,SB,1727399406
130,remire-montjoly,4.9167,-52.2667,27.02,89,0,1.54,GF,1727399407
131,port pirie,-33.1833,138.0167,19.6,23,0,3.14,AU,1727399408
132,garissa,-0.4536,39.6401,23.45,80,90,5.87,KE,1727399409
133,famagusta,35.125,33.95,24.49,62,0,2.49,CY,1727399410
134,pangody,65.85,74.4859,-0.46,78,100,5.36,RU,1727399411
135,la passe,45.5549,-0.8967,15.25,76,48,10.7,FR,1727399413
136,nova sintra,14.8667,-24.7167,26.82,83,100,2.38,CV,1727399414
137,walvis bay,-22.9575,14.5053,15.28,74,30,5.11,NA,1727399415
138,keflavik,64.0049,-22.5624,5.24,87,0,2.06,IS,1727399416
139,kerikeri,-35.2268,173.9474,15.59,94,100,3.82,NZ,1727399417
140,kodigenahalli,13.72,77.3903,21.14,89,100,2.11,IN,1727399418
141,goynuk,40.4003,30.7883,15.45,68,0,1.17,TR,1727399419
142,flying fish cove,-10.4217,105.6791,25.82,78,40,3.09,CX,1727399421
143,saldanha,-33.0117,17.9442,13.5,94,11,7.01,ZA,1727399422
144,murmashi,68.8154,32.8115,8.23,87,75,3.0,RU,1727399423
145,portland,45.5234,-122.6762,21.6,62,0,2.57,US,1727399195
146,neftcala,39.3742,49.2472,20.89,58,100,3.92,AZ,1727399278
147,bredasdorp,-34.5322,20.0403,12.92,91,92,1.21,ZA,1727399426
148,hamilton,39.1834,-84.5333,21.06,92,100,5.14,US,1727399344
149,leh,34.1667,77.5833,7.71,61,1,2.4,IN,1727399173
150,juneau,58.3019,-134.4197,12.0,89,40,4.63,US,1727399284
151,city of balikpapan,-1.242,116.8942,24.97,88,75,0.0,ID,1727399431
152,nogliki,51.8333,143.1667,12.05,91,100,2.71,RU,1727399432
153,veselyy,47.0934,40.7422,14.14,50,6,6.11,RU,1727399433
154,kurchatov,51.6601,35.6521,15.25,54,100,5.4,RU,1727399434
155,singaraja,-8.112,115.0882,29.19,71,80,1.8,ID,1727399435
156,juticalpa,14.65,-86.2,23.03,94,100,1.3,HN,1727399437
157,salekhard,66.53,66.6019,2.45,95,91,3.62,RU,1727399438
158,arkalyk,50.2486,66.9114,2.84,58,5,1.83,KZ,1727399439
159,tefe,-3.3542,-64.7114,25.46,83,12,1.91,BR,1727399440
160,bambanglipuro,-7.95,110.2833,27.27,75,82,1.67,ID,1727399441
161,glace bay,46.1969,-59.957,12.31,93,100,3.14,CA,1727399442
162,tvoroyri,61.5556,-6.8111,6.53,70,85,7.45,FO,1727399443
163,madalena,41.2162,-8.3345,16.37,88,0,2.19,PT,1727399444
164,atafu village,-8.5421,-172.5159,25.83,90,100,9.38,TK,1727399446
165,howrah,22.5892,88.3103,27.0,100,75,3.6,IN,1727399447
166,knin,44.0439,16.2,18.09,79,1,3.25,HR,1727399448
167,tagta,41.6504,59.9164,12.71,27,100,6.16,TM,1727399449
168,waddan,29.1614,16.139,23.58,67,0,3.16,LY,1727399450
169,funafuti,-8.5243,179.1942,31.0,79,75,3.6,TV,1727399451
170,daru,-9.0763,143.2092,26.87,84,96,5.24,PG,1727399452
171,wewak,-3.5534,143.6268,28.46,78,100,1.82,PG,1727399454
172,kodiak,57.79,-152.4072,7.73,66,100,5.66,US,1727399173
173,dompu,-8.5356,118.4622,32.16,52,2,1.25,ID,1727399457
174,bodaybo,57.8506,114.1933,4.67,75,93,1.27,RU,1727399416
175,north bend,43.4065,-124.2243,17.92,72,0,2.57,US,1727399459
176,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,51,0,2.0,RU,1727399460
177,somotillo,13.0433,-86.9064,23.71,96,85,0.42,NI,1727399462
178,shache,38.4167,77.2406,20.53,27,0,5.5,CN,1727399463
179,banjarmasin,-3.3244,114.591,28.08,68,100,0.17,ID,1727399464
180,vylkove,45.4021,29.586,18.1,91,100,3.68,UA,1727399465
181,hadibu,12.65,54.0333,25.22,84,69,7.37,YE,1727399466
182,constantia,44.1833,28.65,17.61,85,72,5.07,RO,1727399467
183,iskateley,67.6803,53.1512,10.88,90,65,7.5,RU,1727399468
184,tura,25.5198,90.2201,22.41,97,100,1.24,IN,1727399469
185,naze,28.3667,129.4833,27.18,82,11,7.51,JP,1727399471
186,tazovsky,67.4667,78.7,-1.43,87,100,4.25,RU,1727399472
187,kone,-21.0595,164.8658,30.98,34,43,1.93,NC,1727399473
188,cannonvale,-20.2833,148.7,25.66,61,100,2.99,AU,1727399474
189,egilsstadir,65.2653,-14.3948,1.78,98,98,2.24,IS,1727399476
190,uturoa,-16.7333,-151.4333,26.51,80,10,3.68,PF,1727399478
191,brisas de zicatela,15.8369,-97.0419,24.61,92,100,0.75,MX,1727399479
192,macas,-2.3167,-78.1167,21.98,84,100,1.5,EC,1727399480
193,anloga,5.7947,0.8973,25.38,88,95,4.72,GH,1727399481
194,qaqortoq,60.7167,-46.0333,4.55,84,4,4.24,GL,1727399482
195,grand falls-windsor,48.9332,-55.6649,8.06,87,7,1.1,CA,1727399483
196,vila velha,-20.3297,-40.2925,24.41,82,40,5.81,BR,1727399484
197,tutoia,-2.7619,-42.2744,25.87,83,2,5.31,BR,1727399474
198,anapa,44.8908,37.3239,14.19,100,20,3.0,RU,1727399487
199,galaat el andeless,37.0629,10.1183,22.95,66,6,0.97,TN,1727399488
200,queenstown,-31.8976,26.8753,8.51,83,70,0.17,ZA,1727399489
201,fort bragg,35.139,-79.006,24.91,96,100,4.12,US,1727399371
202,sechura,-5.5569,-80.8222,18.2,80,5,6.35,PE,1727399491
203,fort mcmurray,56.7268,-111.381,12.03,53,80,2.28,CA,1727399492
204,tadine,-21.55,167.8833,25.34,53,81,4.77,NC,1727399493
205,jaisalmer,26.9147,70.9181,30.55,56,11,5.19,IN,1727399495
206,la ronge,55.1001,-105.2842,9.73,78,100,7.61,CA,1727399497
207,vanderbijlpark,-26.7117,27.838,12.32,26,100,1.63,ZA,1727399498
208,east london,-33.0153,27.9116,15.38,77,23,2.86,ZA,1727399499
209,dalhem,50.7132,5.7277,14.28,84,51,8.68,BE,1727399500
210,ain el bya,35.8039,-0.3018,25.2,55,18,5.45,DZ,1727399501
211,la sarre,48.8002,-79.1996,12.02,90,100,1.49,CA,1727399503
212,satuek,15.297,103.2919,26.98,82,100,1.45,TH,1727399504
213,emerald,-23.5333,148.1667,25.75,51,100,3.58,AU,1727399505
214,parksville,49.3163,-124.3195,12.75,99,100,1.34,CA,1727399506
215,rosarito,32.3333,-117.0333,20.54,73,0,5.18,MX,1727399507
216,bandar,2.05,99.75,24.27,87,100,0.39,ID,1727399508
217,magdagachi,53.45,125.8,14.01,54,100,4.44,RU,1727399509
218,barauna,-5.08,-37.6167,23.78,69,0,7.1,BR,1727399511
219,pakse,15.1167,105.7833,26.71,83,87,0.9,LA,1727399512
220,sola,-13.8833,167.55,26.07,76,12,8.65,VU,1727399513
221,isafjordur,66.0755,-23.124,1.68,97,100,2.72,IS,1727399514
222,chandler,33.3062,-111.8412,40.96,13,0,4.12,US,1727399515
223,balykshi,47.0667,51.8667,7.0,45,0,4.0,KZ,1727399516
224,the pas,53.8251,-101.2541,18.61,57,6,11.6,CA,1727399475
225,polyarnyy,69.1989,33.4478,8.42,88,100,4.89,RU,1727399518
226,porto novo,6.4965,2.6036,24.61,91,41,2.24,BJ,1727399520
227,aasiaat,68.7098,-52.8699,1.47,74,100,2.0,GL,1727399521
228,fortuna,40.5982,-124.1573,18.29,68,0,5.66,US,1727399522
229,gwadar,25.1216,62.3254,26.3,84,89,2.69,PK,1727399523
230,mhamid,29.82,-5.72,27.69,30,9,3.18,MA,1727399524
231,aykhal,66.0,111.5,-0.28,90,80,4.15,RU,1727399525
232,karema,-6.8205,30.4389,24.34,45,68,1.83,TZ,1727399526
233,onguday,50.75,86.15,-2.01,89,98,0.85,RU,1727399527
234,northport,33.229,-87.5772,22.95,76,75,3.09,US,1727399529
235,lucapa,-8.4192,20.7447,24.6,47,97,1.62,AO,1727399530
236,jiuquan,39.7432,98.5174,17.37,38,5,3.64,CN,1727399531
237,laojunmiao,39.8333,97.7333,15.27,38,68,0.27,CN,1727399532
238,laguna,38.421,-121.4238,31.13,34,0,2.06,US,1727399433
239,karera,25.4667,78.15,24.51,96,100,2.26,IN,1727399535
240,bangassou,4.7413,22.8184,20.55,95,41,1.23,CF,1727399537
241,nova vicosa,-17.8919,-39.3719,23.87,78,0,5.4,BR,1727399538
242,"laikit, laikit ii (dimembe)",1.4792,124.9735,30.47,58,20,1.03,ID,1727399539
243,vernon,50.2581,-119.2691,17.09,45,100,1.34,CA,1727399540
244,tangalle,6.024,80.7911,26.15,83,100,4.98,LK,1727399541
245,serowe,-22.3833,26.7167,21.92,18,16,1.92,BW,1727399542
246,kenai,60.5544,-151.2583,11.68,83,100,3.6,US,1727399543
247,hawaiian paradise park,19.5933,-154.9731,26.04,87,93,1.79,US,1727399545
248,richards bay,-28.783,32.0377,18.81,79,16,6.82,ZA,1727399546
249,santo antonio,-6.3106,-35.4789,21.02,91,42,4.42,BR,1727399547
250,ambovombe,-25.1667,46.0833,21.35,81,8,0.23,MG,1727399548
251,mataram,-8.5833,116.1167,30.45,74,100,0.87,ID,1727399549
252,kirensk,57.7853,108.1119,2.13,77,15,1.17,RU,1727399399
253,ugoofaaru,5.6667,73.0,27.53,78,100,6.51,MV,1727399551
254,tofol,5.3248,163.0078,28.86,69,0,1.59,FM,1727399552
255,malango,-2.9627,119.9001,26.29,65,37,1.26,ID,1727399554
256,sevastopol,44.6,33.5333,19.19,71,6,1.28,UA,1727399555
257,eyl,7.9803,49.8164,25.25,72,92,7.32,SO,1727399511
258,wotho,10.1657,166.0102,28.86,74,100,6.42,MH,1727399557
259,kachug,53.9606,105.8817,2.93,62,98,1.13,RU,1727399558
260,saipan,15.1355,145.701,28.39,89,40,3.6,MP,1727399559
261,songea,-10.6833,35.65,16.49,64,5,1.84,TZ,1727399560
262,nemuro,43.3236,145.575,16.78,96,100,3.94,JP,1727399561
263,sinabang,2.4803,96.3801,27.03,84,91,0.63,ID,1727399563
264,lannion,48.75,-3.4167,10.64,85,94,1.34,FR,1727399564
265,saint-pierre,-21.3393,55.4781,21.82,78,100,1.54,RE,1727399440
266,berdigestyakh,62.0989,126.6992,0.81,99,100,3.2,RU,1727399566
267,howard springs,-12.497,131.047,31.04,65,14,1.73,AU,1727399567
268,tsiombe,-25.3,45.4833,20.63,84,3,1.87,MG,1727399569
269,blackwater,-23.5833,148.8833,25.83,48,100,3.23,AU,1727399570
270,arkhangel'sk,64.5401,40.5433,14.06,100,75,3.0,RU,1727399571
271,darwin,-12.4611,130.8418,31.08,58,40,2.06,AU,1727399572
272,susuman,62.7833,148.1667,6.44,54,4,1.24,RU,1727399573
273,mejit,10.2753,170.8646,28.49,76,74,5.43,MH,1727399574
274,phatthalung,7.5,100.0833,26.11,86,100,1.33,TH,1727399526
275,talodi,10.6325,30.3797,22.38,81,68,0.39,SD,1727399577
276,purranque,-40.9167,-73.1667,3.42,80,100,0.38,CL,1727399578
277,qarazhal,48.0078,70.7903,2.33,51,5,3.83,KZ,1727399579
278,ixtapa,20.7,-105.2,30.57,84,100,2.57,MX,1727399388
279,rosario del tala,-32.3029,-59.1455,11.9,68,4,4.07,AR,1727399581
280,khark,29.2614,50.3306,32.22,57,0,7.24,IR,1727399582
281,ardakan,32.31,54.0175,21.34,39,0,5.98,IR,1727399583
282,sona,45.4388,10.8255,18.51,88,75,2.06,IT,1727399586
283,taoudenni,22.6783,-3.9836,35.4,23,0,6.49,ML,1727399587
284,tomohon,1.3346,124.8392,27.52,56,69,0.39,ID,1727399588
285,lyangasovo,58.5176,49.4472,9.41,40,99,4.49,RU,1727399589
286,auki,-8.7676,160.7034,29.13,71,73,0.71,SB,1727399590
287,pisco,-13.7,-76.2167,17.03,82,100,4.12,PE,1727399591
288,khandyga,62.6667,135.6,10.69,56,100,2.84,RU,1727399593
289,college,64.8569,-147.8028,7.26,77,100,2.57,US,1727399594
290,aktanysh,55.7216,54.0829,8.68,45,13,3.6,RU,1727399595
